day 0,19-Sep,,This sheet takes compound specific OP50 lysis into account,,,,,,,,OD600 measured,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,OD600 measured,dOD600/X0,,,,,,,,,,white OD600,,,,,,,,,,,,,
1,2,A,92313,15,N2,water,0,9/20/2013,A2,8,0.8956,0.823,0.005604167,,-0.012841667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,2,B,92313,15,N2,water,0,9/20/2013,B2,9,0.8761,0.8016,0.005192593,,-0.013792593,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,2,C,92313,15,N2,water,0,9/20/2013,C2,3,0.8779,0.832,0.006044444,,-0.031244444,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,2,D,92313,15,N2,water,0,9/20/2013,D2,4,0.9132,0.8616,0.005958333,,-0.016033333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,2,E,92313,15,N2,water,0,9/20/2013,E2,7,0.9247,0.8596,0.005333333,,-0.009447619,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,2,F,92313,15,N2,water,0,9/20/2013,F2,5,0.9233,0.8666,0.005786667,,-0.011826667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,2,G,92313,15,N2,water,0,9/20/2013,G2,9,0.9173,0.838,0.005725926,,-0.009748148,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,2,H,92313,15,no_worms,"10mgml, selflysis",0,9/20/2013,H2,0,0.9561,0.9272,0.0289,,0.9272,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,3,A,92313,15,N2,water,0,9/20/2013,A3,6,0.8933,0.8315,0.005672222,,-0.015705556,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,3,B,92313,15,N2,water,0,9/20/2013,B3,4,0.9308,0.8871,0.003983333,,-0.009658333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,3,C,92313,15,N2,water,0,9/20/2013,C3,8,0.8634,0.7967,0.004866667,,-0.016129167,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,3,D,92313,15,N2,water,0,9/20/2013,D3,7,0.9024,0.8349,0.00567619,,-0.01297619,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,3,E,92313,15,N2,water,0,9/20/2013,E3,7,0.9146,0.8531,0.004819048,,-0.01037619,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,3,F,92313,15,N2,water,0,9/20/2013,F3,7,0.9158,0.8504,0.00537619,,-0.010761905,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,3,G,92313,15,N2,water,0,9/20/2013,G3,13,0.9091,0.8038,0.005964103,,-0.009379487,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,3,H,92313,15,no_worms,"10mgml, selflysis",0,9/20/2013,H3,0,0.9486,0.9218,0.0268,,0.9218,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,4,A,92313,15,N2,Mianserin,50,9/20/2013,A4,5,0.8926,0.8185,0.007573333,,-0.016973333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,4,B,92313,15,N2,Mianserin,50,9/20/2013,B4,8,0.8995,0.804,0.007408333,,-0.012420833,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,4,C,92313,15,N2,Mianserin,50,9/20/2013,C4,12,0.8598,0.7391,0.007038889,,-0.013688889,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,4,D,92313,15,N2,Mianserin,50,9/20/2013,D4,8,0.904,0.8125,0.006908333,,-0.011358333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,4,E,92313,15,N2,Mianserin,50,9/20/2013,E4,11,0.9086,0.7979,0.006769697,,-0.009587879,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,4,F,92313,15,N2,Mianserin,50,9/20/2013,F4,5,0.9136,0.8376,0.007953333,,-0.013153333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,4,G,92313,15,N2,Mianserin,50,9/20/2013,G4,7,0.9118,0.8283,0.006752381,,-0.01072381,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,4,H,92313,15,no_worms,10mgml+drug,50,9/20/2013,H4,0,0.9448,0.9086,0.0362,,0.9086,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,A,92313,15,N2,Mianserin,50,9/20/2013,A5,7,0.8879,0.796,0.007952381,,-0.015338095,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,B,92313,15,N2,Mianserin,50,9/20/2013,B5,7,0.8952,0.8081,0.007266667,,-0.013609524,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,C,92313,15,N2,Mianserin,50,9/20/2013,C5,9,0.8585,0.7517,0.007840741,,-0.016851852,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,D,92313,15,N2,Mianserin,50,9/20/2013,D5,13,0.8862,0.7546,0.007335897,,-0.01144359,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,E,92313,15,N2,Mianserin,50,9/20/2013,E5,4,0.9074,0.8433,0.006966667,,-0.015016667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,F,92313,15,N2,Mianserin,50,9/20/2013,F5,5,0.906,0.8281,0.008333333,,-0.015053333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,G,92313,15,N2,Mianserin,50,9/20/2013,G5,8,0.9007,0.8099,0.006820833,,-0.011683333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,5,H,92313,15,no_worms,10mgml+drug,50,9/20/2013,H5,0,0.9364,0.8996,0.0368,,0.8996,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,6,A,92313,15,N2,Mianserin,50,9/20/2013,A6,9,0.8898,0.7845,0.007674074,,-0.013207407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,6,B,92313,15,N2,Mianserin,50,9/20/2013,B6,6,0.9017,0.8304,0.005844444,,-0.012161111,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,6,C,92313,15,N2,Mianserin,50,9/20/2013,C6,5,0.8772,0.8017,0.007853333,,-0.020333333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,6,D,92313,15,N2,Mianserin,50,9/20/2013,D6,8,0.9095,0.8124,0.007608333,,-0.011370833,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,6,E,92313,15,N2,Mianserin,50,9/20/2013,E6,8,0.9047,0.815,0.006683333,,-0.011045833,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,6,F,92313,15,N2,Mianserin,50,9/20/2013,F6,7,0.8992,0.8182,0.006395238,,-0.012166667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,6,G,92313,15,N2,Mianserin,50,9/20/2013,G6,6,0.9097,0.8278,0.007611111,,-0.012594444,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,6,H,92313,15,no_worms,10mgml+drug,50,9/20/2013,H6,0,0.9376,0.9019,0.0357,,0.9019,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,7,A,92313,15,RB660,water,0,9/20/2013,A7,4,0.8968,0.8565,0.003133333,,-0.011733333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,7,B,92313,15,RB660,water,0,9/20/2013,B7,6,0.932,0.8897,0.002422222,,-0.002288889,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,7,C,92313,15,RB660,water,0,9/20/2013,C7,4,0.8979,0.8631,0.001758333,,-0.010083333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,7,D,92313,15,RB660,water,0,9/20/2013,D7,6,0.932,0.8866,0.002938889,,-0.002805556,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,7,E,92313,15,RB660,water,0,9/20/2013,E7,1,0.9272,0.8999,-0.000466667,,-0.003533333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,7,F,92313,15,RB660,water,0,9/20/2013,F7,3,0.9261,0.8928,0.001844444,,-0.003544444,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,7,G,92313,15,RB660,water,0,9/20/2013,G7,2,0.9263,0.8946,0.001966667,,-0.004416667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,7,H,92313,15,RB660,water,0,9/20/2013,H7,4,0.9542,0.9156,0.002708333,,0.9156,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,8,A,92313,15,RB660,water,0,9/20/2013,A8,5,0.9346,0.8891,0.003546667,,-0.002866667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,8,B,92313,15,RB660,water,0,9/20/2013,B8,2,0.9252,0.8893,0.004066667,,-0.007066667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,8,C,92313,15,RB660,water,0,9/20/2013,C8,9,0.9059,0.8496,0.00317037,,-0.005981481,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,8,D,92313,15,RB660,water,0,9/20/2013,D8,3,0.9277,0.8923,0.002544444,,-0.003711111,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,8,E,92313,15,RB660,water,0,9/20/2013,E8,1,0.9148,0.8839,0.003133333,,-0.019533333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,8,F,92313,15,RB660,water,0,9/20/2013,F8,6,0.9136,0.8657,0.003355556,,-0.006288889,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,8,G,92313,15,RB660,water,0,9/20/2013,G8,5,0.9136,0.8721,0.002746667,,-0.006266667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,8,H,92313,15,RB660,water,0,9/20/2013,H8,7,0.9438,0.8933,0.003247619,,0.8933,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,9,A,92313,15,RB660,water,0,9/20/2013,A9,4,0.9168,0.8725,0.004133333,,-0.007733333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,9,B,92313,15,RB660,water,0,9/20/2013,B9,4,0.9305,0.8863,0.004108333,,0.221575,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,9,C,92313,15,RB660,water,0,9/20/2013,C9,6,0.8946,0.8468,0.003338889,,0.141133333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,9,D,92313,15,RB660,water,0,9/20/2013,D9,4,0.9233,0.8845,0.002758333,,0.221125,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,9,E,92313,15,RB660,water,0,9/20/2013,E9,5,0.9097,0.8678,0.002826667,,0.17356,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,9,F,92313,15,RB660,water,0,9/20/2013,F9,3,0.9041,0.8682,0.002711111,,0.2894,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,9,G,92313,15,RB660,water,0,9/20/2013,G9,4,0.9055,0.8646,0.003283333,,0.21615,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,9,H,92313,15,RB660,water,0,9/20/2013,H9,4,0.9395,0.9014,0.002583333,,0.9014,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,10,A,92313,15,RB660,Mianserin,50,9/20/2013,A10,4,0.9121,0.8677,0.002041667,,-0.002508333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,10,B,92313,15,RB660,Mianserin,50,9/20/2013,B10,3,0.925,0.8792,0.003188889,,0.000488889,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,10,C,92313,15,RB660,Mianserin,50,9/20/2013,C10,1,0.8886,0.8477,0.004666667,,-0.030033333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,10,D,92313,15,RB660,Mianserin,50,9/20/2013,D10,4,0.9217,0.8764,0.002266667,,-0.000333333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,10,E,92313,15,RB660,Mianserin,50,9/20/2013,E10,3,0.9048,0.8646,0.001322222,,-0.004377778,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,10,F,92313,15,RB660,Mianserin,50,9/20/2013,F10,1,0.9028,0.8609,0.005666667,,-0.016833333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,10,G,92313,15,RB660,Mianserin,50,9/20/2013,G10,5,0.8994,0.8521,0.002213333,,-0.005126667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,10,H,92313,15,RB660,Mianserin,50,9/20/2013,H10,3,0.936,0.8897,0.003355556,,0.8897,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,11,A,92313,15,RB660,Mianserin,50,9/20/2013,A11,4,0.9054,0.8547,0.003616667,,-0.005758333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,11,B,92313,15,RB660,Mianserin,50,9/20/2013,B11,1,0.9128,0.8732,0.003366667,,-0.004533333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,11,C,92313,15,RB660,Mianserin,50,9/20/2013,C11,2,0.8854,0.8417,0.003733333,,-0.018016667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,11,D,92313,15,RB660,Mianserin,50,9/20/2013,D11,4,0.909,0.8646,0.002041667,,-0.003283333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,11,E,92313,15,RB660,Mianserin,50,9/20/2013,E11,1,0.8969,0.8541,0.006566667,,-0.023633333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,11,F,92313,15,RB660,Mianserin,50,9/20/2013,F11,4,0.8913,0.8378,0.004316667,,-0.009983333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,11,G,92313,15,RB660,Mianserin,50,9/20/2013,G11,1,0.8877,0.8427,0.008766667,,-0.035033333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,11,H,92313,15,RB660,Mianserin,50,9/20/2013,H11,0,0.926,0.8865,#DIV/0!,,0.8865,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,12,A,92313,15,RB660,Mianserin,50,9/20/2013,A12,3,0.8964,0.8443,0.005288889,,-0.011144444,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,12,B,92313,15,RB660,Mianserin,50,9/20/2013,B12,4,0.9099,0.8587,0.003741667,,-0.004758333,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,12,C,92313,15,RB660,Mianserin,50,9/20/2013,C12,3,0.8792,0.836,0.002322222,,-0.013911111,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,12,D,92313,15,RB660,Mianserin,50,9/20/2013,D12,3,0.9103,0.8648,0.003088889,,-0.004311111,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,12,E,92313,15,RB660,Mianserin,50,9/20/2013,E12,5,0.8912,0.8418,0.002633333,,-0.007186667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,12,F,92313,15,RB660,Mianserin,50,9/20/2013,F12,3,0.8985,0.8499,0.004122222,,-0.009277778,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,12,G,92313,15,RB660,Mianserin,50,9/20/2013,G12,2,0.8764,0.8326,0.003783333,,-0.022566667,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1,12,H,92313,15,RB660,Mianserin,50,9/20/2013,H12,5,0.9106,0.857,0.003473333,,0.857,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,day ,N0,1,4,4,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,-41536,,,,,,,,,,,,,,,,,,,,,,,
,,,,analysis by column dOD600 ,N2,water,0,,1,50,0.921028571,0.852228571,0.005834127,#DIV/0!,-0.010692103,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N2,water,0,,2,45,0.904014286,0.840342857,0.005663638,#DIV/0!,-0.014990639,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N2,water,0,,3,52,0.9042,0.836785714,0.005193965,#DIV/0!,-0.012140975,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N2,Mianserin,50,,4,56,0.898557143,0.805414286,0.007200614,#DIV/0!,-0.012558059,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N2,Mianserin,50,,5,53,0.8917,0.798814286,0.00750236,#DIV/0!,-0.014142342,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,N2,Mianserin,50,,6,49,0.898828571,0.812857143,0.007095695,#DIV/0!,-0.013268519,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,RB660,water,0,,7,26,0.919757143,0.883314286,0.00194246,#DIV/0!,-0.005486508,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,RB660,water,0,,8,31,0.919342857,0.877428571,0.003223386,#DIV/0!,-0.007387831,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,RB660,water,0,,9,30,0.912071429,0.8701,0.003308571,#DIV/0!,0.179315714,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,RB660,Mianserin,50,,10,21,0.907771429,0.864085714,0.003052302,#DIV/0!,-0.008389127,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,RB660,Mianserin,50,,11,17,0.898357143,0.852685714,0.004629762,#DIV/0!,-0.014320238,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
Raw correction factors,,,,,RB660,Mianserin,50,,12,23,0.894557143,0.846871429,0.003568651,#DIV/0!,-0.010450873,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,reference,correction factor #1,"10mgml, selflysis",,,10mg,,0.9535,0.925733333,0.027766667,#DIV/0!,0.925733333,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,correction factor #2,10mgml+drug,,,10mg,,0.9396,0.903366667,0.036233333,#DIV/0!,0.903366667,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,
